Gas Station,Address,Link,Бензин A100,Бензин A95,Бензин A95+,Бензин A98,Дизел,Дизел премиум,Електричество,Метан,Пропан Бутан,Navigation links
 Insa Oil София,бул. Цариградско шосе №62,https://bg.fuelo.net/gasstation/id/1708?lang=bg,3.03 лв/л.(kw/h),2.55 лв/л.(kw/h),None,None,None,2.97 лв/л.(kw/h),None,None,1.17 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.657501,23.383301&travelmode=driving"
 Топливо Требич,ул. Латин Колев 1,https://bg.fuelo.net/gasstation/id/59993?lang=bg,None,2.67 лв/л.(kw/h),None,None,3.02 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.777500,23.315100&travelmode=driving"
 Топливо Дружба,"ж.к. Дружба 2, бул. Проф. Цв. Лазаров",https://bg.fuelo.net/gasstation/id/1496?lang=bg,3.05 лв/л.(kw/h),2.62 лв/л.(kw/h),None,None,2.98 лв/л.(kw/h),None,None,None,0.99 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.655025,23.400839&travelmode=driving"
 Топливо SNG Овча купел,"ж.к. Овча купел 2, ул. Обиколна и ул. Промишлена",https://bg.fuelo.net/gasstation/id/1500?lang=bg,None,2.65 лв/л.(kw/h),None,None,3.02 лв/л.(kw/h),None,None,None,1.17 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.689301,23.249300&travelmode=driving"
 Топливо SNG Враждебна,бул. Владимир Вазов №89 (кв. Враждебна),https://bg.fuelo.net/gasstation/id/1503?lang=bg,3.05 лв/л.(kw/h),2.54 лв/л.(kw/h),None,None,2.93 лв/л.(kw/h),None,0.78 лв/л.(kw/h),None,1.14 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.709316,23.398258&travelmode=driving"
 Топливо Княжево,бул. Цар Борис III №424,https://bg.fuelo.net/gasstation/id/2016?lang=bg,None,2.60 лв/л.(kw/h),None,None,2.89 лв/л.(kw/h),None,None,None,1.11 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.651192,23.218571&travelmode=driving"
 iGas Манастирски ливади,ул. Тодор Каблешков,https://bg.fuelo.net/gasstation/id/1876?lang=bg,None,None,None,None,None,None,None,None,1.17 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.667480,23.280899&travelmode=driving"
 iGas Люлин 1,ул. 109-та,https://bg.fuelo.net/gasstation/id/1896?lang=bg,None,None,None,None,None,None,None,None,1.12 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.727840,23.258549&travelmode=driving"
 iGas Люлин 7,бул. Д-р Петър Дертлиев (срещу блок 737),https://bg.fuelo.net/gasstation/id/64130?lang=bg,None,None,None,None,None,None,None,None,1.11 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.709400,23.260401&travelmode=driving"
 Еко Петрол 7,бул. Цариградско шосе (вход от Пловдив),https://bg.fuelo.net/gasstation/id/1292?lang=bg,2.96 лв/л.(kw/h),2.51 лв/л.(kw/h),None,None,2.89 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.643356,23.402872&travelmode=driving"
